net,length_um
_06225_,1368.85
_07448_,1346.93
clknet_0_clk,1185.775
_07470_,1170.84
_06236_,1120.88
_03944_,1053.68
_03858_,999.29
_03835_,959.6
_03832_,921.36
_06371_,888.56
_03834_,858.88
_03672_,855.64
_06313_,845.37
_03874_,845.22
_03947_,835.355
_07459_,832.545
_03818_,804
_03837_,796.93
_03720_,794.355
_04032_,784.3
_03322_,782.54
_03940_,780.39
_03948_,778.33
_03819_,777.6
net70,775.6
_03942_,774.27
_03817_,760.17
_03821_,759.78
_03328_,754.15
net77,750.77
_03751_,750.18
_04033_,748.81
net79,748.52
_03857_,741.96
_04203_,740.76
_03340_,740.38
_03731_,738.74
net82,725.98
net22,721.63
_03826_,720.05
net68,719.19
_03655_,717.14
_03831_,709.57
_03801_,707.23
net17,705.87
_03732_,703.71
_03768_,702.08
_06272_,700.97
net125,697.47
net13,697.38
_03986_,695.21
_06217_,693.91
_04030_,691.75
_06370_,691.38
_06270_,691
_06383_,686.86
_03728_,681.49
_00014_,674.36
_06314_,671.405
_03896_,671.35
net83,669.72
_03327_,668.78
net91,667.96
_03739_,667.28
_06310_,665.935
_04106_,665.72
_03324_,664.19
_03329_,663.32
_03878_,663.11
_03662_,662.55
net74,660.67
_03888_,660.22
_03798_,659.66
_03767_,658.16
net223,652.23
net104,650.35
_03842_,650.085
net20,649.1
_01755_,644.1
net97,643.62
_03945_,643.2
net105,640.765
_03823_,635.42
net34,635.28
net120,633.88
_03665_,631.53
net103,631.23
_03683_,630.03
_06382_,629.9
net184,628.68
_06635_,628.04
_03345_,627.75
_03666_,626.59
_06304_,618.63
_03745_,618.2
_03891_,617.05
net200,616.825
_03750_,615.48
_03755_,613.14
net32,612.04
_04124_,611.22
_03941_,608.84
net72,608.38
_03658_,607.64
_04096_,606.71
_01900_,605.09
_06309_,604.44
_03870_,603.39
_03317_,602.64
_03756_,602.46
_02672_,602.15
_03796_,601.665
_01683_,601.31
_02755_,600.005
_01864_,596.69
_06344_,595.88
_03670_,594.09
_01616_,591.07
_06452_,590.4
_03978_,589.8
_03824_,588.8
_01936_,585.49
_02082_,583.395
net224,581.24
_03889_,580.42
net14,579.27
_06291_,578.99
_05202_,578.01
net115,576.46
_03684_,575.785
_03864_,575.03
_06268_,573.47
_05020_,573.34
_03867_,572.4
_03892_,572.13
_06271_,571.98
_03856_,571.94
net16,571.82
_06485_,571.125
_03926_,570.11
net88,567.82
_03816_,565.96
_03399_,564.99
_03691_,563.9
net95,563.155
_07398_,562.63
_06355_,562.17
_06393_,560.18
_03692_,558.78
_06275_,557.42
net12,557.33
_02141_,556.12
_06256_,555.945
_02143_,555.93
net245,555.8
net132,555.4
_03895_,553.3
_05415_,551.48
_06345_,551.06
_03871_,550.44
_06348_,550.15
_03829_,549.81
net86,548.95
_03799_,548.22
_03757_,547.7
net101,545.73
_03985_,545.71
decoded_imm\[20\],544.41
_06369_,544.19
net71,543.76
_01839_,543.4
_06358_,542.21
net96,542.16
net11,541.42
_01972_,538.93
_03748_,538.85
_02040_,537.85
_03983_,537.72
_03752_,537.13
_03887_,537.01
_04907_,536.61
_03331_,536.49
_06276_,534.92
net216,534.38
net188,534.34
_03443_,533.78
_02083_,532.88
_04089_,532.29
_06357_,531.22
net189,530.94
_03990_,528.66
_04984_,527.1
_03740_,525.85
_01792_,524.84
net192,524.25
_04022_,523.77
net127,522.66
_05165_,521.36
net98,521.2
decoded_imm\[29\],520.79
_03654_,519.4
_03873_,518.81
net168,518.78
_03309_,516.84
net186,516.68
_03680_,514.49
net169,514.19
net217,513.18
_05306_,510.57
net28,510.25
net112,509.96
_01828_,507.41
net67,506.25
_06384_,505.76
net117,505
_06490_,504.05
_05092_,503.47
net222,501.86
net56,500.11
net90,498.65
_06388_,497.57
net9,495.85
_03861_,495.51
decoded_imm\[16\],494.59
net94,493.27
net235,492.08
_06346_,492.04
_03334_,491.73
_05128_,491.66
net183,491.555
net220,490.975
_04120_,490.79
net3,488.61
_02201_,488.27
net215,487.445
_01719_,487.14
_01803_,486.19
net114,484.73
_03436_,483.935
_05239_,483.2
_03795_,483.065
_03323_,482.57
_03727_,481.24
_03972_,480.89
_06667_,480.3
_03308_,479.46
net107,478.44
net134,476.62
net30,476.49
_02170_,474.545
net211,473.71
_00007_,473.59
_02752_,472.82
_06319_,472.58
_05031_,471.91
net205,471.65
net174,470.83
_06438_,470.615
_06445_,468.79
clknet_4_13_0_clk,468.75
_06783_,467.82
_06375_,465.675
net126,465.53
_03806_,465.23
_03719_,464.63
_05379_,464.05
_04061_,463.89
_05343_,463.81
_06377_,461.29
net209,461.22
_06389_,461.06
_03733_,460.91
_07420_,460.81
_06816_,459.88
_01579_,459.55
_07409_,459.11
net170,458.74
_02161_,457.445
net180,457.4
net119,456.72
_04946_,455.56
net191,455.51
_03724_,454.76
net212,452.96
net244,450.405
_06769_,450.28
decoded_imm\[21\],449.73
_06386_,449.465
net99,447.76
_06269_,447.53
clk,447.03
_04194_,446.28
_01543_,445.61
net6,445.35
net179,445.21
_06374_,444.82
net92,444.61
_01777_,444.46
decoded_imm\[24\],444.27
_03663_,443.99
_04129_,443.19
decoded_imm\[11\],443.09
_01875_,442.62
_06361_,442.19
_03320_,441.83
net69,441.12
net129,440.82
clknet_4_8_0_clk,438.79
_03839_,438.13
net181,438.01
_03862_,436
_06666_,435.87
_02244_,434.54
net76,433.86
net167,433.73
decoded_imm\[30\],432.13
_06368_,431.17
_06502_,430.99
net227,429.36
_01911_,428.93
_03316_,428.88
net207,428.41
_05056_,427.72
_03312_,427.48
_03894_,427.35
_07545_,427.13
decoded_imm\[31\],427
_06945_,422.64
net176,421.67
_01766_,421.22
net182,421.22
net195,420.7
_05042_,419.18
_05493_,418.89
net5,416.89
_03797_,416.56
_05006_,416.02
_05281_,415.1
_06626_,414.78
_04198_,414
_06395_,412.16
_06437_,411.25
net218,410.25
decoded_imm\[23\],410.15
net21,409.785
net110,409.53
_06380_,409.1
_03657_,407.38
_03313_,407.25
_05451_,407.15
clknet_4_5_0_clk,406.71
_03721_,405.38
net187,403.8
net201,403.74
_03681_,402.76
_06940_,401.94
net204,401.89
net219,401.6
net106,401.44
_05426_,398.41
net178,397.32
_04995_,396.68
clknet_4_11_0_clk,396.33
net172,395.33
decoded_imm\[18\],395.21
net185,393.48
net10,392.95
clknet_4_9_0_clk,392.26
_03673_,391.85
decoded_imm\[22\],390.88
_02121_,389.765
_00015_,389.28
clknet_4_7_0_clk,388.52
net177,387.94
_02214_,386.83
decoded_imm\[28\],386.57
_02834_,386.04
net198,385.87
net193,385.44
net93,384.75
_03659_,383.88
net199,383.545
_00011_,383.41
_03346_,383.39
_06700_,382.14
clknet_4_10_0_clk,381.97
net246,381.15
_03306_,379.78
clknet_4_12_0_clk,379.69
clknet_4_0_0_clk,379.49
_02757_,379.43
_06623_,379.41
_01578_,376.41
_06655_,375.54
_03341_,374.64
_06342_,374.055
_03336_,373.98
_03656_,373.92
_05259_,373.62
_04929_,373.49
_06954_,372.69
_01886_,372.29
_05150_,372.125
_01814_,371.415
net171,371.23
_06721_,370.83
_05260_,370.58
clknet_4_14_0_clk,369.74
_02842_,369.27
_05213_,369.23
net173,368.26
_03661_,367.91
net123,366.92
_04196_,365.9
decoded_imm\[26\],365.3
_06681_,365.23
clknet_4_3_0_clk,364.47
clknet_4_1_0_clk,364.17
_02191_,363.84
_06507_,361.6
_03311_,361.3
_03335_,360.77
net122,360.615
_01850_,360.23
decoded_imm\[17\],360.05
net213,359.29
clknet_4_4_0_clk,359.02
net128,358.83
decoded_imm\[25\],358.66
_02661_,358.275
net194,357.95
_01590_,357.64
_02271_,356.85
_03342_,356.79
_02263_,356.49
cpu_state\[4\],356.31
_06565_,356.24
_03217_,354.82
net130,353.84
_05078_,353.53
_03321_,353.26
_01922_,353.21
_06594_,353.14
net109,352.88
_06906_,352.6
_04918_,352.38
_02274_,352.36
_03310_,352.055
_05139_,351.785
_03725_,351.35
net124,350.94
net62,350.04
net7,349.97
_03509_,349.93
decoded_imm\[19\],349.62
_02160_,349.39
clknet_4_2_0_clk,348.92
net78,348.55
_03242_,347.51
_06558_,347.44
_06793_,345.84
_06566_,345.07
_03276_,344.5
decoded_imm\[27\],344.26
_02159_,343.84
net25,343.34
_03660_,343.25
_01694_,342.16
_06351_,342.08
net85,341.66
_01935_,341.64
decoded_imm\[15\],341.34
_02080_,341.18
_03230_,340.94
_05390_,340.79
_04401_,339.74
net29,338.3
_03262_,337.9
_02292_,337
_06800_,336.05
_06719_,335.915
net208,335.08
_06795_,334.6
_06838_,334.48
clknet_4_15_0_clk,333.71
_07301_,333.455
_02630_,333.29
_05450_,331.24
_03289_,330.92
net175,330.83
net116,330.64
_05264_,330.62
net210,329.8
_06711_,329.425
_05505_,329.34
_05114_,329.09
_05317_,327.4
_06713_,327.12
_06896_,326.74
_06691_,326.37
net121,325.98
_02325_,325.72
_05268_,325.56
net8,324.77
net243,324.655
net247,324.62
_06609_,323.7
_03480_,323.495
_05763_,323.24
_03376_,321.69
_06897_,321.22
_04323_,321.12
_05342_,319.69
_01994_,318.83
_05912_,318.54
_02603_,317.585
clknet_4_6_0_clk,316.86
_06216_,316.67
_01947_,316.55
net206,316.02
net233,315.68
_06278_,315.06
_02349_,314.51
_06462_,314.38
net18,314.36
_02654_,314.175
net140,313.92
_03645_,313.55
_06833_,313.55
_00016_,313.24
net2,312.63
_05262_,311.54
_03508_,311.3
net197,309.78
_02642_,309.51
_03522_,308.9
_02126_,308.65
_05699_,308.43
_04255_,308.1
net190,305.86
_04968_,305.06
_06469_,304.57
_05473_,304.45
_01730_,304.29
_06821_,304.13
_06725_,303.45
_06776_,303.18
_03632_,302.71
_03619_,302.61
_05305_,301.13
latched_rd\[4\],300.78
decoded_imm\[14\],300.62
net226,300.29
_05176_,299.93
_06678_,299.18
net202,298.89
net102,298.55
_04470_,297.88
_05378_,297.74
_06686_,297.64
_06758_,297.4
_02615_,297.275
_06716_,296.1
_05437_,295.93
_06710_,295.35
latched_rd\[3\],294.98
_06554_,294.22
decoded_imm\[12\],294.22
_02180_,293.68
_01641_,293.675
_06614_,292.49
_01705_,292.2
_03548_,291.53
_02169_,291.38
_04359_,290.08
decoded_imm\[10\],289.97
_02764_,289.41
_05289_,289.28
_01658_,288.55
_02589_,288.435
_01636_,288.04
_06824_,287.92
_06464_,287.54
_03575_,287.44
_02843_,285.94
net15,285.81
_05328_,284.86
_02852_,284.54
_02860_,284.02
_06693_,284.02
_05295_,283.98
_06620_,283.94
_06889_,283.88
_01645_,283.72
_06349_,283.12
_06575_,282.89
_05401_,281
_01601_,280.56
_04026_,280.54
_02051_,280.53
_06588_,280.38
_05499_,280.34
_06707_,280.24
decoder_trigger,280.02
_05274_,279.94
decoded_imm\[8\],279.56
_07580_,279.36
_05299_,278.56
_01958_,278.27
_05164_,278.15
_03714_,277.75
_02285_,277.545
_03468_,276.74
_01666_,276.2
_01682_,275.91
_05276_,275.87
decoded_imm\[13\],275.34
net31,274.85
_03607_,274.59
_02176_,273.92
_07544_,273.6
_05272_,273.42
_02175_,273.035
_02212_,272.53
_05266_,272.37
_05055_,272.27
_02237_,271.97
is_slli_srli_srai,271.95
net118,271.92
_06790_,270.88
_04223_,270.62
_01657_,270.4
_02519_,270.24
net100,270.23
_05201_,269.85
_03534_,269.75
_03494_,269.62
_02187_,269.06
_05588_,268.95
_03535_,268.36
_03521_,268.27
_03307_,268.16
_05280_,267.88
_06727_,267.3
_01718_,267.2
_07567_,266.86
net144,266.72
_01653_,266.64
net24,266.48
_05680_,266.475
_03223_,266.33
latched_rd\[2\],266.16
_06728_,266.05
instr_srli,266.05
_04182_,265.98
_02171_,265.93
decoded_imm_j\[18\],265.185
decoded_imm_j\[19\],264.64
_02476_,264.58
_06872_,264.48
_04109_,263.88
_01672_,263.44
_01983_,262.73
_01668_,262.72
_03574_,262.49
_02849_,262.18
_03225_,262.12
_01741_,261.88
_05224_,260.87
_02243_,260.55
_03652_,260.01
_05709_,259.67
_05365_,259.1
_02544_,258.995
decoded_imm\[9\],258.8
_02085_,257.64
_01565_,257.42
